01_prenom;02_genre;03_langage;04_fréquence
aaliyah;f;english (modern);0
aapeli;m;finnish;0
aapo;m;finnish;0
aaren;m,f;english;0
aarne;m;finnish;0
aarón;m;spanish;0
aaron;m;english, biblical;1.37
aatami;m;finnish;0
aatto;m;finnish;0
aatu;m;finnish;0
abaddon;m;biblical;0
abbán;m;irish;0
'abbas;m;arabic;0
abbey;f;english;0.06
abbie;f;english;0
abby;f;english;0
abd-al-aziz;m;arabic;0
abd-allah;m;arabic;0
abd-al-malik;m;arabic;0
abd-al-qadir;m;arabic;0
abd-al-rahman;m;arabic;0
abdul;m;arabic;0.29
abdul-aziz;m;arabic;0
abdullah;m;arabic;0.13
abdul-rahman;m;arabic;0
abe;m;english, jewish;0.03
abednego;m;biblical;0
abegail;f;spanish;0
ábel;m;hungarian;0
abel;m;english, french, spanish, biblical;5.38
abelone;f;danish;0
abena;f;african;0
abeni;f;african;0
abhay;m;indian;0
abiah;m,f;biblical;0
abidan;m;biblical;0
abidemi;m;african;0
abiel;m;biblical;0
abigail;f;english, german, biblical;0.06
abigayle;f;english (modern);0
abihu;m;biblical;0
abijah;m,f;biblical;0
abilene;f;biblical;0
abimael;m;biblical;0
abiram;m;biblical;0
abisai;m;biblical (variant);0
abishag;f;biblical;0.03
abishai;m;biblical;0
abital;f;biblical;0
'abla;f;arabic;0
abner;m;english, biblical;0
abraham;m;english, jewish, biblical;3.15
abram;m;biblical;0.03
absalom;m;english, biblical;0.03
absolon;m;french;0
acacia;f;english;2.07
acacius;m;ancient greek (latinized);0
acantha;f;greek mythology (latinized);0
ace;m;english;0.03
achaicus;m;biblical, ancient greek (latinized);0
achan;m;biblical;0
achieng;f;african;0
achille;m;french, italian;8.63
achilles;m;greek mythology (latinized);0
achim;m;german;0.03
acke;m;swedish;0
ada;f;english;0.13
adah;f;biblical;0
adair;m;;0.03
adalbert;m;ancient germanic, german;0.06
adalberto;m;italian, spanish, portuguese;0
adalheid;f;german;0
adalia;m;biblical;0
ádám;m;hungarian;0
adam;m;english, french, german, polish, russian, romanian, biblical;25.45
adamina;f;english;0
adamo;m;italian;0
adán;m;spanish;0
adão;m;portuguese;0
adara;f;;0
addie;f;english;0
addison;m,f;english;0.64
addy;f;english;0
adel;m;arabic;0
adela;f;english;0
adélaïde;f;french;15.48
adelaide;f;english;0
adèle;f;french;25.33
adelheid;f;german, dutch;0
adelia;f;english;0
adelina;f;italian, portuguese, spanish;0.67
adeline;f;french, english;1.27
adelle;f;english;0
adelmar;m;german;0
adem;m;turkish;0
aden;m;;0.54
adena;f;;0
