Nombre;Sexe;Annee;Prenoms
6;F;2014;Deva
6;F;2014;Arya
6;F;2014;Yuna
6;F;2014;Djeneba
6;F;2014;Jihane
6;F;2014;Mélie
6;F;2014;Maïlys
6;F;2014;Patricia
6;F;2014;Yaëlle
6;F;2014;Mayar
6;F;2014;Salima
6;F;2014;Marthe
6;F;2014;Ombeline
6;F;2014;Assil
5;F;2014;Celia
5;F;2014;Nélya
5;F;2014;Leïna
5;F;2014;Sanaa
5;F;2014;Lily-Rose
5;F;2014;Naïa
5;F;2014;Alissa
5;F;2014;Ayana
5;F;2014;Aurélie
5;F;2014;Quitterie
5;F;2014;Dania
5;F;2014;Emmie
5;F;2014;Marta
5;F;2014;Milena
5;F;2014;Lyla
5;F;2014;Naelle
5;F;2014;Arwen
5;F;2014;Aissatou
5;F;2014;Loïs
5;F;2014;Nadine
5;F;2014;Tasnime
5;F;2014;Léontine
5;F;2014;Rym
370;M;2014;Gabriel
316;M;2014;Raphaël
255;M;2014;Arthur
163;M;2014;Joseph
127;M;2014;Augustin
120;M;2014;Oscar
116;M;2014;Noah
99;M;2014;Enzo
90;M;2014;Aaron
81;M;2014;Jean
80;M;2014;Maxence
62;M;2014;Côme
54;M;2014;Amir
53;M;2014;Gustave
49;M;2014;Elias
48;M;2014;Mamadou
47;M;2014;Daniel
41;M;2014;Vadim
37;M;2014;Armand
36;M;2014;Matthieu
35;M;2014;Charlie
34;M;2014;Léandre
33;M;2014;Anton
32;M;2014;Yassine
32;M;2014;Arsène
31;M;2014;Corentin
30;M;2014;Marin
30;M;2014;Max
30;M;2014;Emmanuel
28;M;2014;Mathieu
28;M;2014;Samy
27;M;2014;Anatole
27;M;2014;Emile
25;M;2014;Maximilien
24;M;2014;Ariel
23;M;2014;Aurélien
21;M;2014;Matteo
21;M;2014;Djibril
20;M;2014;Guillaume
20;M;2014;Ilian
20;M;2014;Dylan
19;M;2014;Owen
19;M;2014;Mohammed
18;M;2014;Dimitri
18;M;2014;Abdallah
18;M;2014;Walid
17;M;2014;Ferdinand
17;M;2014;Rafaël
16;M;2014;Florian
16;M;2014;Erwan
15;M;2014;Aurèle
15;M;2014;Bastien
15;M;2014;Iyed
15;M;2014;Elio
14;M;2014;Jayden
13;M;2014;Kévin
13;M;2014;Rémi
12;M;2014;Elijah
12;M;2014;Imrane
11;M;2014;Boubacar
11;M;2014;Melvin
11;M;2014;Kenzo
11;M;2014;Fares
11;M;2009;Ewan
23;F;2009;Farah
13;M;2009;Farès
10;F;2009;Fatimata
60;M;2009;Felix
12;F;2009;Fiona
21;F;2009;Flora
350;M;2009;Gabriel
21;M;2009;Georges
10;M;2009;Gianni
8;M;2009;Guilhem
31;M;2009;Gustave
8;F;2009;Hajar
8;F;2009;Helena
22;F;2009;Helène
8;F;2009;Hermine
10;M;2009;Hubert
161;M;2009;Hugo
6;M;2009;Hugues
10;F;2009;Ilona
43;M;2009;Ilyes
13;M;2009;Ilyès
6;M;2009;Imrane
216;F;2009;Inès
62;M;2009;Ismaël
148;F;2009;Jade
9;F;2009;Jenna
6;M;2009;Jerôme
30;M;2009;Joachim
6;M;2009;Joël
10;M;2009;Joey
15;M;2009;Jonas
74;M;2009;Julien
175;F;2009;Juliette
7;F;2009;Junon
7;F;2009;Kadidiatou
7;F;2009;Kady
6;F;2009;Kawtar
34;F;2009;Kenza
8;X;2009;Keziah
7;F;2009;Kiara
22;F;2009;Lana
76;F;2009;Laura
7;M;2009;Laurent
36;M;2009;Lenny
62;M;2009;Leonard
39;F;2009;Leonie
14;F;2009;Leonore
32;M;2009;Leopold
41;F;2009;Lily
9;F;2009;Lindsay
15;M;2009;Lior
31;M;2009;Loïc
7;M;2009;Loris
10;M;2009;Louka
25;M;2009;Luc
10;F;2009;Ludmila
22;M;2009;Luka
8;M;2009;Lyes
7;F;2009;Lylou
22;F;2009;Mahaut
6;F;2009;Maïly
30;F;2009;Maïssa
6;F;2009;Marie-Lou
6;F;2009;Marilou
45;M;2009;Marius
95;M;2009;Maxence
9;F;2009;Maylis
10;F;2009;Mayssa
45;M;2009;Mehdi
9;F;2009;Melissa
6;F;2009;Meryam
12;M;2009;Michel
22;F;2009;Morgane
10;M;2009;Nahel
13;F;2009;Naïla
20;M;2009;Naïm
30;F;2009;Naomi
33;M;2009;Nils
14;F;2009;Nine
8;M;2009;Nizar
55;M;2009;Noam
13;F;2009;Norah
67;F;2009;Nour
22;M;2009;Omar
19;M;2009;Oumar
21;F;2009;Oumou
14;M;2009;Owen
35;M;2009;Pablo
11;M;2009;Pacôme
36;F;2009;Paloma
9;M;2009;Paolo
7;M;2009;Patrick
17;F;2009;Pia
8;M;2009;Pierre-Louis
21;F;2009;Prune
299;M;2009;Raphaël
20;F;2009;Rebecca
7;M;2009;Richard
9;M;2009;Robinson
7;M;2005;Abdel
23;M;2005;Abdoulaye
7;M;2005;Aboubakar
88;F;2005;Adèle
30;M;2005;Alex
329;M;2005;Alexandre
10;F;2005;Aline
6;F;2005;Alixe
18;F;2005;Alma
8;M;2005;Aloïs
16;F;2005;Alyssa
86;F;2005;Ambre
6;F;2005;Amicie
44;M;2005;Amine
25;F;2005;Ana
19;M;2005;Ange
35;F;2005;Angèle
15;F;2005;Angelique
26;M;2005;Anis
141;F;2005;Anna
6;F;2005;Antonia
55;M;2005;Antonin
6;F;2005;Armance
11;F;2005;Asma
73;M;2005;Aurelien
29;F;2005;Axelle
6;M;2005;Aymane
28;M;2005;Ayoub
139;M;2005;Baptiste
22;F;2005;Berenice
15;F;2005;Bertille
14;F;2005;Bianca
238;F;2005;Camille
15;M;2005;Cedric
29;M;2005;Cesar
13;F;2005;Charline
14;M;2005;Christophe
7;M;2005;Christopher
38;F;2005;Clementine
17;M;2005;Clovis
24;F;2005;Coline
8;M;2005;Constant
6;F;2005;Coraline
39;M;2005;Corentin
31;M;2005;Damien
21;M;2005;Dan
7;M;2005;Daouda
36;F;2005;Daphne
7;F;2005;Diana
6;F;2005;Djeneba
35;M;2005;Dorian
14;F;2005;Dounia
41;M;2005;Dylan
6;M;2005;Eddy
9;F;2005;Eglantine
10;F;2005;Elena
34;M;2005;Elie
60;F;2005;Elise
24;F;2005;Ella
13;M;2005;Elliot
7;F;2005;Elodie
7;M;2005;Emile
188;M;2005;Enzo
27;M;2005;Eric
7;F;2005;Erika
6;F;2005;Eurydice
126;F;2005;Eva
35;F;2005;Eve
6;M;2005;Eythan
7;M;2005;Fabio
8;F;2005;Fatim
75;M;2005;Felix
7;F;2005;Flavia
6;F;2005;Floriane
6;M;2005;Francis
24;M;2005;Gabin
239;M;2005;Gabriel
10;M;2005;Gaëtan
9;M;2005;Gaston
13;M;2005;Georges
9;M;2005;Giovanni
22;F;2005;Grace
31;M;2005;Hadrien
