Code_commune_INSEE;Nom_commune;Code_postal;Libelle_acheminement;Ligne_5;coordonnees_gps
12157;MONTROZIER;12630;MONTROZIER;;44.3813386273, 2.71254776972
12166;MUROLS;12600;MUROLS;;44.8341310228, 2.67664580865
12176;ONET LE CHATEAU;12850;ONET LE CHATEAU;QUATRE SAISONS;44.3602453055, 2.59175422847
12177;PALMAS D AVEYRON;12340;PALMAS D AVEYRON;CRUEJOULS;44.4656002773, 2.70710459278
12178;PAULHE;12520;PAULHE;;44.1968259654, 3.06387030498
12182;PIERREFICHE;12130;PIERREFICHE;;44.4625155533, 2.98303027843
12191;PRIVEZAC;12350;PRIVEZAC;;44.4010803949, 2.15854701364
12194;QUINS;12800;QUINS;LA MOTHE;44.1851158215, 2.33730989448
12199;RIGNAC;12390;RIGNAC;;44.4348428997, 2.31749695196
12207;RULLAC ST CIRQ;12120;RULLAC ST CIRQ;;44.1738899788, 2.54748951823
12212;ST BEAULIZE;12540;ST BEAULIZE;;43.8787455208, 3.14987374669
12219;STE EULALIE D OLT;12130;STE EULALIE D OLT;;44.4625155533, 2.98303027843
12220;STE EULALIE DE CERNON;12230;STE EULALIE DE CERNON;;43.9902158825, 3.26114811927
12223;ARGENCES EN AUBRAC;12210;ARGENCES EN AUBRAC;ALPUECH;44.6915069372, 2.81638954446
12225;ST GEORGES DE LUZENCON;12100;ST GEORGES DE LUZENCON;;44.0898281066, 3.10621950967
12226;ST HIPPOLYTE;12140;ST HIPPOLYTE;;44.6558037135, 2.58164635516
12227;ST IGEST;12260;ST IGEST;;44.458873555, 1.98297177766
12230;ST JEAN DELNOUS;12170;ST JEAN DELNOUS;;44.0745006665, 2.51889903328
12235;ST JUST SUR VIAUR;12170;ST JUST SUR VIAUR;;44.0745006665, 2.51889903328
12236;ST LAURENT DE LEVEZOU;12620;ST LAURENT DE LEVEZOU;;44.1639182272, 2.94123371794
12240;ST PARTHEM;12300;ST PARTHEM;;44.5947922935, 2.27515362111
12254;SALLES LA SOURCE;12330;SALLES LA SOURCE;;44.4669223048, 2.48171518474
12264;SEBAZAC CONCOURES;12740;SEBAZAC CONCOURES;;44.4071370966, 2.63127194747
12265;SEBRAZAC;12190;SEBRAZAC;;44.5757488453, 2.68710158175
12277;TAUSSAC;12600;TAUSSAC;;44.8341310228, 2.67664580865
12278;TAYRAC;12440;TAYRAC;;44.2188237556, 2.19456712254
12291;VERRIERES;12520;VERRIERES;;44.1968259654, 3.06387030498
12293;VEYREAU;12720;VEYREAU;;44.1809861731, 3.25262326426
12295;VIALA DU PAS DE JAUX;12250;VIALA DU PAS DE JAUX;;43.948416094, 3.02271239908
12303;VIMENET;12310;VIMENET;;44.384469335, 2.84476302604
13001;AIX EN PROVENCE;13540;AIX EN PROVENCE;PUYRICARD;43.5360221556, 5.3983786513
13004;ARLES;13129;ARLES;SALIN DE GIRAUD;43.5467808819, 4.66183385891
13004;ARLES;13280;ARLES;MOULES;43.5467808819, 4.66183385891
13010;BARBENTANE;13570;BARBENTANE;;43.8946430262, 4.749492461
13014;BERRE L ETANG;13130;BERRE L ETANG;;43.5038264894, 5.16082559313
